   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 2.73069, 3.68865, -32.5516, 32.8735, 8.96475, 34.0739, 1.52238, 66.6255, -3.77881, -1.88941
px, py, pz, p1, m1, e, num, den, ln, y: -0.905944, -10.895, 9.62414, 14.5652, 1.09987, 14.6067, 24.2308, 4.98252, 1.58169, 0.790845
px, py, pz, p1, m1, e, num, den, ln, y: -8.14624, -17.1371, 1.73175, 19.0536, 1.31458, 19.0989, 20.8307, 17.3672, 0.181845, 0.0909225
px, py, pz, p1, m1, e, num, den, ln, y: 14.7146, 5.86518, -20.6725, 26.0436, 0.649848, 26.0518, 5.37925, 46.7243, -2.16172, -1.08086
px, py, pz, p1, m1, e, num, den, ln, y: 2.68671, 5.2354, -17.9696, 18.9086, 8.11517, 20.5765, 2.60685, 38.5461, -2.69371, -1.34686
px, py, pz, p1, m1, e, num, den, ln, y: 11.0727, 29.9264, 1.78226, 31.9588, 3.4791, 32.1477, 33.9299, 30.3654, 0.110993, 0.0554966
px, py, pz, p1, m1, e, num, den, ln, y: -10.9405, -10.3442, -1.30132, 15.1126, 1.04814, 15.1489, 13.8476, 16.4502, -0.172229, -0.0861143
px, py, pz, p1, m1, e, num, den, ln, y: -1.88901, -17.3156, -10.9273, 20.5622, 1.01652, 20.5873, 9.66, 31.5147, -1.18246, -0.591229
px, py, pz, p1, m1, e, num, den, ln, y: 8.46713, -0.667832, -2.07398, 8.74298, 1.03253, 8.80374, 6.72976, 10.8777, -0.480177, -0.240089
px, py, pz, p1, m1, e, num, den, ln, y: -7.14392, 28.9231, -1.0566, 29.8111, 1.01984, 29.8285, 28.7719, 30.8851, -0.0708749, -0.0354374
px, py, pz, p1, m1, e, num, den, ln, y: 28.5993, -11.884, 44.0514, 53.8486, 4.04259, 54.0002, 98.0516, 9.94878, 2.28804, 1.14402
px, py, pz, p1, m1, e, num, den, ln, y: -42.9424, 18.689, -164.043, 170.597, 1.04147, 170.6, 6.55747, 334.643, -3.93246, -1.96623
px, py, pz, p1, m1, e, num, den, ln, y: 15.4439, -8.12492, -21.8697, 27.9788, 2.91212, 28.1299, 6.26025, 49.9996, -2.0778, -1.0389
px, py, pz, p1, m1, e, num, den, ln, y: 9.83494, -7.83262, -2.73, 12.8658, 2.62595, 13.1311, 10.4011, 15.8611, -0.42196, -0.21098
px, py, pz, p1, m1, e, num, den, ln, y: 1.69184, 11.7278, 7.49632, 14.0214, 0.628224, 14.0354, 21.5317, 6.53911, 1.19173, 0.595864
px, py, pz, p1, m1, e, num, den, ln, y: -4.01443, 14.0732, -5.64229, 15.6845, 3.10023, 15.988, 10.3457, 21.6303, -0.737522, -0.368761
px, py, pz, p1, m1, e, num, den, ln, y: 54.7301, 19.4478, -25.6802, 63.5065, 0.605998, 63.5094, 37.8292, 89.1895, -0.857683, -0.428842
px, py, pz, p1, m1, e, num, den, ln, y: 21.0923, 9.88375, 24.4446, 33.7656, 0.951999, 33.779, 58.2236, 9.33436, 1.83059, 0.915295
px, py, pz, p1, m1, e, num, den, ln, y: 8.76348, 6.21157, -7.27004, 12.9706, 0.782672, 12.9942, 5.72413, 20.2642, -1.26417, -0.632083
px, py, pz, p1, m1, e, num, den, ln, y: -2.02543, -18.2068, -2.96887, 18.5581, 3.60307, 18.9046, 15.9357, 21.8735, -0.316711, -0.158355
px, py, pz, p1, m1, e, num, den, ln, y: 1.31483, -7.12699, 13.001, 14.8845, 6.85579, 16.3875, 29.3885, 3.38652, 2.1608, 1.0804
px, py, pz, p1, m1, e, num, den, ln, y: 9.93879, 4.69072, -6.16237, 12.5999, 1.05895, 12.6443, 6.48194, 18.8067, -1.06519, -0.532596
px, py, pz, p1, m1, e, num, den, ln, y: -7.99728, -4.46233, 3.88128, 9.94652, 0.885784, 9.98588, 13.8672, 6.1046, 0.820481, 0.410241
px, py, pz, p1, m1, e, num, den, ln, y: 20.3922, -40.0935, 32.2331, 55.3381, 3.12159, 55.426, 87.6592, 23.1929, 1.32961, 0.664804
px, py, pz, p1, m1, e, num, den, ln, y: 4.32024, -8.021, 8.34863, 12.3572, 2.7573, 12.6611, 21.0097, 4.31246, 1.58348, 0.791738
px, py, pz, p1, m1, e, num, den, ln, y: -12.0428, 24.8941, 29.2566, 40.2579, 3.12118, 40.3787, 69.6353, 11.1221, 1.83434, 0.91717
px, py, pz, p1, m1, e, num, den, ln, y: 4.35412, -12.3451, -6.24105, 14.5021, 2.05767, 14.6474, 8.4063, 20.8884, -0.910213, -0.455106
px, py, pz, p1, m1, e, num, den, ln, y: -18.8802, -8.19831, -5.65568, 21.3462, 0.767891, 21.36, 15.7044, 27.0157, -0.54248, -0.27124
px, py, pz, p1, m1, e, num, den, ln, y: 8.79605, 0.961319, -7.88381, 11.8511, 1.03687, 11.8964, 4.01259, 19.7802, -1.59525, -0.797623
px, py, pz, p1, m1, e, num, den, ln, y: -4.75288, -11.4299, 33.5646, 35.7745, 2.74028, 35.8793, 69.4439, 2.31469, 3.40124, 1.70062
px, py, pz, p1, m1, e, num, den, ln, y: -30.6308, -1.30817, 11.2092, 32.6436, 0.57018, 32.6485, 43.8577, 21.4394, 0.715723, 0.357861
