   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 2.68774, -10.4102, 3.79944, 11.4032, 3.06439, 11.8077, 15.6072, 8.00831, 0.667252, 0.333626
px, py, pz, p1, m1, e, num, den, ln, y: -6.61797, 7.09789, -14.908, 17.7884, 3.07722, 18.0526, 3.14457, 32.9606, -2.34964, -1.17482
px, py, pz, p1, m1, e, num, den, ln, y: 16.2416, -5.28603, 1.40302, 17.1377, 3.09836, 17.4155, 18.8185, 16.0125, 0.161473, 0.0807363
px, py, pz, p1, m1, e, num, den, ln, y: 6.04365, -5.0586, -6.95864, 10.5137, 3.09797, 10.9606, 4.00198, 17.9193, -1.49909, -0.749543
px, py, pz, p1, m1, e, num, den, ln, y: 8.06387, -5.50746, 1.09415, 9.82626, 3.08512, 10.2992, 11.3933, 9.20504, 0.213278, 0.106639
px, py, pz, p1, m1, e, num, den, ln, y: 9.02194, 10.0658, 31.3868, 34.1737, 3.09314, 34.3134, 65.7002, 2.92669, 3.11123, 1.55562
px, py, pz, p1, m1, e, num, den, ln, y: -8.00982, 11.6915, -13.4008, 19.5046, 3.13968, 19.7557, 6.35486, 33.1565, -1.65202, -0.826009
px, py, pz, p1, m1, e, num, den, ln, y: -4.28886, -4.85322, -12.5288, 14.1039, 5.2146, 15.037, 2.50819, 27.5658, -2.39701, -1.19851
px, py, pz, p1, m1, e, num, den, ln, y: -7.53641, 12.6825, -55.0293, 56.9725, 3.10038, 57.0568, 2.02752, 112.086, -4.01246, -2.00623
px, py, pz, p1, m1, e, num, den, ln, y: 3.8112, 10.3912, -7.67517, 13.4688, 3.09632, 13.8202, 6.14499, 21.4953, -1.2522, -0.626099
px, py, pz, p1, m1, e, num, den, ln, y: 2.60168, 6.72003, -6.71938, 9.85279, 3.05207, 10.3147, 3.5953, 17.0341, -1.55559, -0.777793
px, py, pz, p1, m1, e, num, den, ln, y: -3.49979, 8.48289, 23.2286, 24.9755, 3.06965, 25.1634, 48.392, 1.93484, 3.21931, 1.60965
